star_id,objID,specObjID,object_dir,spectrum_path,spectrum_metadata_path,target_path,spectral_subclass_raw,spectral_parent_label,spectral_leaf_label,input_pixels,valid_pixels,nan_fraction,coverage_fraction,wavelength_min,wavelength_max,split
STAR_003126,1237648702968889406,3287664913035585536,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_003126,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\3287664913035585536.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\3287664913035585536.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_003126\Target\target.json,F2,F,F2,3819,3819,0.0,0.9936976462454351,3808.9042601321803,9174.87154985753,validation
STAR_001442,1237646381543063904,1417642722063312896,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_001442,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1417642722063312896.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1417642722063312896.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_001442\Target\target.json,A0,A,A0,3844,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,test
STAR_004511,1237648703503597690,364795446058575872,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004511,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\364795446058575872.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\364795446058575872.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004511\Target\target.json,M0,M,M0,3827,3826,0.0,0.9973571044390466,3812.412496388137,9198.140860358988,test
STAR_000040,1237648702983570193,1035993156367181824,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000040,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1035993156367181824.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1035993156367181824.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000040\Target\target.json,Carbon_lines,CARBON,CARBON,3826,3826,0.0,0.9962095984991642,3808.0261377153843,9187.55796961087,train
STAR_004510,1237648703503597733,364795171180668928,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004510,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\364795171180668928.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\364795171180668928.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004510\Target\target.json,F5,F,F5,3827,3826,0.0,0.9973571044390466,3812.412496388137,9198.140860358988,train
STAR_001600,1237645943979049605,1721595839597537280,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_001600,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1721595839597537280.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1721595839597537280.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_001600\Target\target.json,L5.5,L,L5.5,3829,3821,0.0,0.9965434921163618,3816.8060029306343,9198.140860358988,test
STAR_007364,1237648703512183640,4555474954884503552,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_007364,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\4555474954884503552.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\4555474954884503552.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_007364\Target\target.json,A6IV (28527),A,A6,4635,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,train
STAR_009952,1237646587169669798,897499219005302784,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_009952,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\897499219005302784.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\897499219005302784.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_009952\Target\target.json,F5,F,F5,3830,3827,0.0,0.9975194819888815,3811.5356576190284,9198.140860358988,test
STAR_000501,1237646586639614621,1404004100693059584,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000501,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1404004100693059584.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1404004100693059584.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000501\Target\target.json,M5,M,M5,3840,3837,0.0,0.9991427512680918,3802.7700035112916,9198.140860358988,train
STAR_004848,1237648703510675490,3723387084317237248,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004848,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\3723387084317237248.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\3723387084317237248.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004848\Target\target.json,G2,G,G2,3834,3834,0.0,0.997736714802509,3801.8932953144076,9189.671555247956,test
STAR_004569,1237648704040206533,364834478721361920,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004569,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\364834478721361920.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\364834478721361920.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004569\Target\target.json,K3,K,K3,3845,3839,0.0,0.9992366124000388,3800.142571433285,9196.020278393495,train
STAR_002759,1237648703509692463,3266272816315525120,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_002759,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\3266272816315525120.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\3266272816315525120.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_002759\Target\target.json,G2,G,G2,3828,3828,0.0,0.996763193973651,3807.1503077902407,9189.671555247956,train
STAR_006221,1237648705115586830,4331581676713170944,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_006221,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\4331581676713170944.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\4331581676713170944.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_006221\Target\target.json,A9V (154660),A,A9,4624,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,train
STAR_007730,1237646586638566390,8170772833649317888,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_007730,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\8170772833649317888.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\8170772833649317888.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_007730\Target\target.json,F8V (G_243-63),F,F8,4624,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,train
STAR_000714,1237646647841391301,1404147586960484352,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000714,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1404147586960484352.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1404147586960484352.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000714\Target\target.json,M4,M,M4,3839,3838,0.0,0.9993051046378852,3801.8932953144076,9198.140860358988,validation
STAR_003298,1237648703507333163,328801282699585536,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_003298,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\328801282699585536.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\328801282699585536.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_003298\Target\target.json,F5,F,F5,3847,3837,0.0,0.9984524177183993,3800.142571433285,9191.785627112642,train
STAR_006753,1237648702984815835,4526359332645001216,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_006753,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\4526359332645001216.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\4526359332645001216.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_006753\Target\target.json,M5III (221615),M,M5,4625,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,train
STAR_006532,1237648704062161432,4515094561442519040,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_006532,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\4515094561442519040.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\4515094561442519040.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_006532\Target\target.json,A4V (136729),A,A4,4626,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,train
STAR_002040,1237648704578191376,2880179024754141184,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_002040,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\2880179024754141184.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\2880179024754141184.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_002040\Target\target.json,F5,F,F5,3843,3833,0.0,0.998494124189121,3806.272589737735,9198.140860358988,validation
STAR_004029,1237648704054362186,342288167203792896,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004029,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\342288167203792896.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\342288167203792896.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004029\Target\target.json,F9,F,F9,3845,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,validation
STAR_003119,1237648703505760388,3287662988890236928,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_003119,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\3287662988890236928.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\3287662988890236928.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_003119\Target\target.json,F9,F,F9,3818,3818,0.0,0.9933068718568487,3808.9042601321803,9172.761368159163,train
STAR_000669,1237646587713094665,1404122298193045504,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000669,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\1404122298193045504.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\1404122298193045504.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_000669\Target\target.json,M2,M,M2,3847,3840,0.0,0.999629312764019,3800.142571433285,9198.140860358988,train
STAR_004904,1237648702973542431,3723420894299791360,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004904,C:\Users\phvna\Faculdade\TCC\dataset\spectra\star\3723420894299791360.fits,C:\Users\phvna\Faculdade\TCC\dataset\metadata\spectra\star\3723420894299791360.json,C:\Users\phvna\Faculdade\TCC\dataset\star_objects\STAR_004904\Target\target.json,F5,F,F5,3816,3816,0.0,0.993667921952121,3813.291630289555,9179.098408831009,train
