feature,importance
flux_4914,0.2857142857142857
flux_9029,0.14285714285714285
flux_5000,0.14285714285714285
flux_8857,0.14285714285714285
flux_4143,0.14285714285714285
flux_9200,0.07142857142857142
flux_7657,0.07142857142857142
flux_8943,0.0
flux_8514,0.0
flux_8429,0.0
flux_8343,0.0
flux_8257,0.0
flux_8171,0.0
flux_8771,0.0
flux_8686,0.0
flux_9114,0.0
flux_7914,0.0
flux_7829,0.0
flux_7743,0.0
flux_7571,0.0
flux_7486,0.0
flux_7400,0.0
flux_7314,0.0
flux_7229,0.0
flux_7143,0.0
flux_7057,0.0
flux_6971,0.0
flux_6886,0.0
flux_6800,0.0
flux_8086,0.0
