feature,importance
flux_5000,0.15624999999999997
flux_5171,0.12499999999999999
flux_5257,0.07291666666666667
flux_4229,0.06250000000000004
flux_4571,0.06250000000000003
flux_4057,0.06250000000000001
flux_7229,0.0625
flux_8771,0.04166666666666667
flux_6286,0.04166666666666667
flux_6371,0.04166666666666667
flux_7400,0.04166666666666667
flux_6886,0.04166666666666667
flux_4657,0.04166666666666667
flux_4400,0.04166666666666667
flux_4143,0.04166666666666667
flux_7829,0.03125000000000003
flux_7571,0.031249999999999983
flux_5343,4.163336342344337e-17
flux_8086,0.0
flux_8171,0.0
flux_7914,0.0
flux_8000,0.0
flux_9029,0.0
flux_9200,0.0
flux_8514,0.0
flux_8429,0.0
flux_8343,0.0
flux_9114,0.0
flux_8943,0.0
flux_8857,0.0
