spectral_parent_label,spectral_leaf_label,count,percentage,is_rare
F,F9,55,11.0,False
F,F5,48,9.6,False
A,A0,47,9.4,False
K,K5,33,6.6000000000000005,False
K,K3,31,6.2,False
G,G2,22,4.3999999999999995,False
M,M4,21,4.2,False
F,F3,19,3.8,False
M,M1,16,3.2,False
M,M5,16,3.2,False
K,K1,15,3.0,False
K,K0,14,2.8000000000000003,False
M,M3,14,2.8000000000000003,False
F,F2,11,2.1999999999999997,False
F,F8,11,2.1999999999999997,False
G,G0,10,2.0,False
M,M2,10,2.0,False
WD,WD,10,2.0,False
M,M0,8,1.6,False
G,G5,6,1.2,False
K,K7,6,1.2,False
F,F0,6,1.2,False
A,A4,6,1.2,False
A,A8,5,1.0,True
G,G8,5,1.0,True
A,A9,4,0.8,True
G,G9,4,0.8,True
G,G4,4,0.8,True
M,M4.5,4,0.8,True
L,L5.5,3,0.6,True
M,M6,3,0.6,True
CARBON,CARBON,2,0.4,True
OB,OB,2,0.4,True
T,T2,2,0.4,True
A,A6,2,0.4,True
G,G1,2,0.4,True
A,A2,2,0.4,True
B,B5,2,0.4,True
K,K4,2,0.4,True
CV,CV,2,0.4,True
A,A1,2,0.4,True
L,L9,2,0.4,True
F,F6,2,0.4,True
M,M7,1,0.2,True
L,L1,1,0.2,True
B,B6,1,0.2,True
B,B9,1,0.2,True
A,A5,1,0.2,True
B,B7,1,0.2,True
G,G0.5,1,0.2,True
O,O8,1,0.2,True
L,L,1,0.2,True
